bm25_score,semantic_score,cross_encoder_score,rrf_score,phase_numeric,is_recruiting,is_active,enrollment_log,condition_exact_match,title_query_overlap,has_eligibility,query_id,nct_id,relevance
80.24323,0.0,0.5004106778601078,0.01639344262295082,1.0,1.0,0.0,3.6109179126442243,1.0,0.5714285714285714,1.0,0,NCT06745804,1
66.09558,0.0,0.723927433631069,0.010638297872340425,0.0,0.0,0.0,7.3783837129967145,1.0,0.2857142857142857,1.0,0,NCT00638391,2
67.25022,0.0,0.7232736213487508,0.012048192771084338,0.0,1.0,0.0,2.833213344056216,1.0,0.5714285714285714,1.0,0,NCT05736367,2
69.28417,0.0,0.5100902317834594,0.014492753623188406,2.0,0.0,0.0,5.303304908059076,1.0,0.2857142857142857,1.0,0,NCT03906669,1
64.441696,0.4373159408569336,0.730073938571214,0.015338122933059643,0.5,0.0,0.0,0.0,1.0,0.7142857142857143,1.0,0,NCT04088032,2
65.39902,0.0,0.7146876747419512,0.009900990099009901,2.0,0.0,0.0,4.61512051684126,1.0,0.2857142857142857,1.0,0,NCT01924078,2
67.88907,0.5212834477424622,0.721648857766231,0.02485334979932078,2.0,0.0,1.0,5.673323267171493,1.0,0.5714285714285714,1.0,0,NCT03917082,2
62.673927,0.0,0.7237554096076487,0.007518796992481203,2.0,0.0,0.0,0.0,1.0,0.5714285714285714,1.0,0,NCT02853071,1
62.019608,0.0,0.7263314167532099,0.006896551724137931,0.0,0.0,0.0,4.795790545596741,1.0,0.7142857142857143,1.0,0,NCT00643513,2
64.58927,0.41596537828445435,0.6249673124070639,0.01397624039133473,1.0,0.0,0.0,1.6094379124341003,1.0,0.7142857142857143,1.0,0,NCT04504331,1
0.0,0.0,0.5005505406983242,0.0,0.0,0.0,0.0,3.091042453358316,1.0,0.2857142857142857,1.0,0,NCT05447910,1
80.032166,0.4774370789527893,0.6839285369321187,0.02547482665058788,1.0,0.0,0.0,2.302585092994046,1.0,0.5714285714285714,1.0,0,NCT04483505,2
79.00947,0.0,0.5002687333067557,0.015873015873015872,1.0,0.0,0.0,3.713572066704308,1.0,0.42857142857142855,1.0,0,NCT01273168,1
0.0,0.4064185619354248,0.7301936258149241,0.004132231404958678,0.0,1.0,0.0,3.2188758248682006,1.0,0.2857142857142857,1.0,0,NCT07218432,2
77.70724,0.0,0.5002890351721371,0.015625,1.0,0.0,1.0,2.6390573296152584,1.0,0.8571428571428571,1.0,0,NCT05064085,1
54.504837,0.0,0.7261437539806659,0.003067484662576687,0.0,0.0,0.0,4.859812404361672,1.0,0.5714285714285714,1.0,0,NCT06729099,1
77.61053,0.0,0.5003632823879466,0.015384615384615385,2.0,0.0,0.0,3.4339872044851463,1.0,0.5714285714285714,1.0,0,NCT03939871,2
0.0,0.5133556127548218,0.7298238627296785,0.011764705882352941,0.0,0.0,0.0,8.006700845440367,1.0,0.2857142857142857,1.0,0,NCT05870813,2
59.12004,0.4109885096549988,0.5003026511034103,0.009292920601458473,1.0,1.0,0.0,3.367295829986474,1.0,0.8571428571428571,1.0,0,NCT06678269,1
72.09218,0.0,0.5005253320955125,0.015151515151515152,1.0,0.0,0.0,3.044522437723423,1.0,0.8571428571428571,1.0,0,NCT03088527,1
0.0,0.0,0.5002765442486587,0.0,2.0,0.0,0.0,4.74493212836325,1.0,0.5714285714285714,1.0,0,NCT03497702,2
71.55321,0.0,0.5002730790603399,0.014925373134328358,2.0,1.0,0.0,3.713572066704308,1.0,0.8571428571428571,1.0,0,NCT07112053,2
0.0,0.0,0.5002792333835547,0.0,2.0,0.0,0.0,2.772588722239781,1.0,0.42857142857142855,1.0,0,NCT02197897,0
